user,password,p1,p2,p3,p4,p5,p6,countries
user0,pw0,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia,France,Argentina,Equatorial Guinea,Benin,Hong Kong S.A.R.,Grenada,Namibia"
user1,pw1,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa"
user2,pw2,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands,Liberia,French Polynesia"
user3,pw3,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand,New Caledonia,Saint Pierre and Miquelon,Sri Lanka,Egypt,Serranilla Bank,Namibia,Equatorial Guinea,Somalia,Gabon,Saint Martin,Cook Islands,Iraq,Malta,Faroe Islands,Liechtenstein"
user4,pw4,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway"
user5,pw5,"26.261398,73.023376","27.754099,111.772282","-37.671696,176.139348","40.016412,-105.259703","41.738529,86.19873","23.09639,109.60917","Comoros,Botswana,Austria,Russia,Armenia,French Polynesia,Rwanda,Brazil,Yemen"
user6,pw6,"37.05944,37.3825","41.738529,86.19873","46.903549,19.693312","54.481604,-0.619792","36.84556,115.71167","55.084877,87.040012","Mauritius,Guinea,Guatemala,Chile,Brazil,Nepal,Canada,Turkey,American Samoa,Tuvalu,United Arab Emirates,Republic of Serbia,,Cook Islands,Namibia,Equatorial Guinea,Iran"
user7,pw7,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria"
user8,pw8,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino,Saint Vincent and the Grenadines,Barbados,Equatorial Guinea"
user9,pw9,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso"
user10,pw10,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino,Saint Vincent and the Grenadines,Barbados,Equatorial Guinea,Antigua and Barbuda,Nepal,Kuwait,Sudan,Palestine,Namibia,Israel,Rwanda"
user11,pw11,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia"
user12,pw12,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R."
user13,pw13,"-24.618994,25.929288","47.138691,37.558427","38.124663,-122.228542","-29.781392,-51.116725","43.817726,11.370028","50.879655,20.628806","Puerto Rico,Colombia,Bhutan,Japan,Finland,Senegal,Cook Islands,Cameroon,United States Virgin Islands,Laos,Iceland,Israel"
user14,pw14,"-8.283226,-35.041551","9.56009,-69.21475","53.88333,25.29972","41.738529,86.19873","20.553642,74.522992","19.47966,37.199371","Ecuador,Kosovo,South Georgia and South Sandwich Islands,Sri Lanka,Coral Sea Islands,Macao S.A.R,Gabon,Thailand,Yemen,Portugal"
